metro_name,zhvi_current,zhvi_5yr_ago,zhvi_as_of,home_value_appreciation_5yr_pct,annual_permits,permits_year
"Nashville, TN",455957.7781918666,355632.7197852896,2026-05-31,28.210300353451007,32191,2021
"Austin, TX",428524.1177891283,444812.1772677964,2026-05-31,-3.6617836271289894,50907,2021
"Denver, CO",573221.0447101688,524296.8460206689,2026-05-31,9.331392904768931,30006,2021
"Charlotte, NC",390320.98576715327,299332.3250821415,2026-05-31,30.397205066323206,30126,2021
"Indianapolis, IN",295921.27605814656,230084.85917045324,2026-05-31,28.613971873273016,13451,2021
